year,month,day,hour,minute,second,lat(deg),lon(deg),depth(km),x(m),y(m),z(m),magnitude
2014,06,02,07,25,38.940,37.660681,-118.848356,6.493,262.2,556.8,501.6,-0.69
2014,06,02,12,30,22.350,37.658207,-118.848665,5.957,234.9,282.1,-33.8,1.18
2014,06,02,12,33,34.380,37.658386,-118.848592,5.956,241.1,302.1,-35.4,1.05
2014,06,02,12,34,15.510,37.659249,-118.848527,5.927,247.1,397.8,-64.5,-0.56
2014,06,02,12,34,19.970,37.658561,-118.848608,5.965,239.8,321.8,-25.9,0.75
2014,06,02,13,40,11.250,37.658655,-118.848755,5.991,227.2,332.0,-0.7,-0.37
2014,06,02,13,43,12.650,37.658280,-118.848836,6.000,219.6,290.3,8.4,0.53
2014,06,02,16,54,46.880,37.657039,-118.849072,6.264,198.6,152.8,272.8,0.14
2014,06,02,18,28,35.880,37.624581,-118.871143,5.277,-1748.9,-3450.0,-713.9,0.36
2014,06,02,23,59,42.660,37.658179,-118.848796,5.996,223.4,278.9,4.8,0.45
2014,06,03,00,01,26.510,37.658044,-118.848869,5.996,217.2,264.0,4.6,0.27
2014,06,03,00,12,45.080,37.658354,-118.848600,5.862,240.5,298.3,-129.0,1.05
2014,06,03,00,47,45.610,37.658297,-118.848617,5.848,239.0,292.0,-142.9,0.67
2014,06,03,00,54,58.160,37.658431,-118.848592,5.846,241.4,306.9,-144.7,1.21
2014,06,03,01,57,59.300,37.657943,-118.848421,6.671,256.2,252.7,680.1,0.58
2014,06,03,03,47,05.690,37.658549,-118.848560,5.862,244.0,320.3,-129.5,0.28
2014,06,03,03,59,28.540,37.658451,-118.848568,5.866,243.3,309.2,-125.2,1.48
2014,06,03,06,21,00.310,37.657080,-118.848983,5.779,206.6,157.1,-212.3,-0.31
2014,06,03,07,34,01.990,37.659493,-118.848787,5.834,224.1,424.8,-157.7,-0.38
2014,06,03,09,47,25.250,37.659863,-118.848454,5.896,253.8,466.0,-95.7,-0.73
2014,06,03,10,16,53.830,37.659757,-118.848608,5.894,239.9,454.4,-96.8,1.40
2014,06,03,10,18,18.420,37.659692,-118.848568,5.898,243.4,446.9,-93.4,0.28
2014,06,03,10,23,07.810,37.657231,-118.849056,5.774,200.6,173.9,-216.9,-0.44
2014,06,03,10,27,53.200,37.659737,-118.848625,5.917,238.1,451.9,-73.9,1.39
2014,06,03,10,31,21.130,37.660571,-118.848861,5.896,217.9,544.7,-95.2,-0.03
2014,06,03,10,42,28.630,37.659749,-118.848592,5.941,241.6,453.6,-50.3,0.58
2014,06,03,10,46,38.850,37.659644,-118.848600,5.920,240.5,441.6,-70.9,0.38
2014,06,03,10,48,51.910,37.659668,-118.848674,5.849,234.0,444.3,-142.6,-0.17
2014,06,03,10,49,20.020,37.659668,-118.848592,5.855,241.3,444.4,-136.1,-0.69
2014,06,03,10,57,27.660,37.659867,-118.848584,5.934,241.8,466.6,-57.2,0.81
2014,06,03,11,05,39.290,37.657345,-118.849056,5.789,200.5,186.4,-201.7,0.56
2014,06,03,11,10,25.760,37.659587,-118.848592,5.944,241.4,435.2,-47.2,-0.02
2014,06,03,11,20,41.980,37.659855,-118.848584,5.949,242.3,465.1,-42.1,-0.23
2014,06,03,11,20,46.010,37.659847,-118.848454,5.960,253.2,464.4,-30.7,-0.37
2014,06,03,11,26,51.620,37.659823,-118.848584,5.835,242.0,461.3,-155.9,0.58
2014,06,03,12,07,43.440,37.658675,-118.848690,5.982,232.6,334.2,-9.1,0.47
2014,06,03,12,18,41.320,37.660486,-118.848633,5.939,237.7,534.9,-52.1,-0.55
2014,06,03,12,19,08.380,37.660726,-118.848527,5.866,246.9,561.8,-125.4,-0.51
2014,06,03,12,19,55.720,37.660270,-118.848665,5.931,234.6,511.3,-60.7,-0.31
2014,06,03,13,02,34.880,37.660616,-118.848755,5.939,226.8,549.4,-52.7,-0.26
2014,06,03,13,30,27.200,37.660571,-118.848592,5.858,241.6,544.5,-133.4,-0.53
2014,06,03,13,34,15.510,37.659566,-118.848568,5.960,243.7,433.1,-30.9,1.67
2014,06,03,13,34,48.500,37.659257,-118.848503,5.966,248.9,398.9,-24.7,-0.17
2014,06,03,13,40,22.050,37.659269,-118.848600,5.892,240.7,400.1,-99.5,1.27
2014,06,03,13,45,24.700,37.659867,-118.848543,5.810,245.7,466.6,-180.9,-0.18
2014,06,03,13,54,13.350,37.659383,-118.848625,5.926,238.7,412.7,-65.7,0.60
2014,06,03,14,26,14.590,37.659709,-118.848576,5.866,242.5,449.0,-125.7,-0.07
2014,06,03,14,34,25.110,37.657971,-118.848511,5.920,248.4,256.1,-71.2,-0.38
2014,06,03,16,29,16.440,37.660311,-118.848551,5.845,245.2,515.9,-146.7,-0.09
2014,06,03,17,19,08.400,37.659290,-118.848722,5.760,229.9,402.4,-231.4,-0.03
2014,06,03,17,28,34.020,37.659705,-118.848177,5.835,278.1,448.4,-156.7,0.42
2014,06,03,20,47,55.120,37.661283,-118.847843,5.768,307.6,623.7,-223.1,-0.34
2014,06,03,23,45,54.900,37.659631,-118.848242,5.850,272.0,440.3,-141.4,0.18
2014,06,03,23,50,19.380,37.652535,-118.849373,6.722,172.3,-347.5,730.9,-0.10
2014,06,04,00,00,52.210,37.662081,-118.848348,6.030,262.9,712.3,39.1,0.63
2014,06,04,00,35,38.540,37.662321,-118.848446,6.044,254.1,738.6,52.4,0.09
2014,06,04,02,27,07.990,37.617773,-118.864600,5.391,-1171.4,-4205.6,-600.7,-0.30
2014,06,04,03,10,06.470,37.661601,-118.848438,5.918,254.7,658.7,-73.5,0.52
2014,06,04,04,17,54.970,37.624841,-118.861027,3.761,-856.2,-3421.2,-2230.6,-0.25
2014,06,04,12,32,25.000,37.662773,-118.848421,6.048,256.2,789.0,56.5,-0.30
2014,06,04,13,08,34.470,37.661987,-118.848551,6.113,245.2,701.6,122.0,0.35
2014,06,04,13,35,39.980,37.659367,-118.848218,5.843,274.1,410.8,-148.7,-0.33
2014,06,04,13,41,17.970,37.659452,-118.848250,5.838,271.2,420.4,-152.7,1.48
2014,06,04,14,06,57.430,37.659774,-118.848193,5.870,276.6,456.3,-121.4,1.17
2014,06,04,14,36,35.130,37.659977,-118.848177,5.867,277.6,478.7,-124.6,-0.14
2014,06,04,14,37,18.020,37.659916,-118.848136,5.816,281.8,471.8,-175.2,-0.37
2014,06,04,15,28,39.950,37.660262,-118.848055,5.849,288.5,510.2,-141.7,0.34
2014,06,04,15,51,09.780,37.660347,-118.848022,5.862,291.8,519.9,-129.3,-0.32
2014,06,04,15,58,38.400,37.669539,-118.854639,5.324,-292.4,1540.1,-667.5,0.33
2014,06,04,16,05,06.670,37.661552,-118.848503,6.006,249.0,653.5,14.8,0.38
2014,06,04,16,12,04.380,37.660205,-118.848047,5.877,289.3,503.9,-114.3,1.30
2014,06,04,16,12,14.430,37.660246,-118.847957,5.849,297.0,508.5,-142.5,0.24
2014,06,04,16,14,05.680,37.660413,-118.848177,5.837,277.8,526.8,-154.2,-0.53
2014,06,04,16,22,57.890,37.659513,-118.848218,5.817,274.6,427.3,-174.5,-0.14
2014,06,04,17,17,46.980,37.660400,-118.847957,5.799,297.3,525.9,-192.2,-0.39
2014,06,04,17,34,03.800,37.659322,-118.848210,5.810,275.2,406.0,-181.2,-0.05
2014,06,04,18,15,56.420,37.660059,-118.848096,5.866,285.0,487.9,-124.9,0.83
2014,06,04,18,18,26.660,37.660164,-118.847998,5.875,293.5,499.7,-116.3,-0.12
2014,06,04,18,22,38.460,37.660144,-118.848039,5.885,289.8,497.3,-106.0,-0.16
2014,06,04,20,32,45.960,37.660413,-118.847998,5.898,293.6,527.2,-92.8,-0.34
2014,06,04,21,04,47.880,37.659298,-118.848226,5.782,273.9,403.4,-209.5,0.58
2014,06,04,21,48,20.180,37.659912,-118.848022,5.849,291.6,471.6,-142.2,-0.32
2014,06,04,22,23,30.760,37.660726,-118.847933,5.835,299.3,561.6,-156.6,0.06
2014,06,04,23,11,12.160,37.659082,-118.848535,5.776,246.1,379.5,-214.9,-0.35
2014,06,05,00,02,07.380,37.660783,-118.847868,5.838,305.5,568.3,-153.1,-0.45
2014,06,05,00,13,50.910,37.659904,-118.848039,5.852,289.8,470.8,-139.1,-0.41
2014,06,05,00,28,01.680,37.660071,-118.848071,5.825,287.0,489.3,-165.9,0.34
2014,06,05,21,07,44.860,37.660002,-118.848128,5.899,282.6,481.5,-91.9,-0.24
2014,06,06,03,32,27.230,37.660905,-118.849137,5.967,193.0,581.7,-24.4,1.13
2014,06,06,03,35,41.260,37.661153,-118.849080,5.975,198.2,609.4,-16.3,0.36
