YYYY,MM,DD,hh,mm,ss.ss,Lat(deg),Long(deg),depth(km)
2014,02,04,01,08,49.28,37.630684,-119.024756,4.736
2014,02,04,01,09,57.65,37.629964,-119.025244,4.761
2014,02,04,01,28,23.22,37.629980,-119.023641,4.907
2014,02,04,01,29,48.50,37.632011,-119.020133,4.833
2014,02,04,01,31,45.18,37.632316,-119.020955,4.854
2014,02,04,02,09,42.22,37.632182,-119.022290,4.863
2014,02,04,02,16,05.22,37.633028,-119.020304,4.791
2014,02,04,02,58,57.61,37.630119,-119.022656,4.923
2014,02,04,03,06,30.57,37.632039,-119.022209,4.863
2014,02,04,03,26,09.11,37.632646,-119.020540,4.797
2014,02,04,03,49,32.52,37.631368,-119.020402,4.862
2014,02,04,04,00,58.48,37.631718,-119.021761,4.968
2014,02,04,04,10,59.09,37.629435,-119.023356,5.002
2014,02,04,04,15,32.24,37.629350,-119.020744,4.917
2014,02,04,04,28,19.13,37.631047,-119.024121,4.720
2014,02,04,04,28,49.48,37.630920,-119.024349,4.690
2014,02,04,04,28,52.70,37.631445,-119.023535,4.758
2014,02,04,04,29,01.22,37.631278,-119.024259,4.720
2014,02,04,04,29,42.46,37.630745,-119.024357,4.782
2014,02,04,04,29,47.99,37.631478,-119.022778,4.800
2014,02,04,04,45,53.87,37.631779,-119.021818,4.850
2014,02,04,04,49,21.48,37.631974,-119.021867,4.959
2014,02,04,04,51,20.43,37.631779,-119.021851,4.851
2014,02,04,05,01,52.35,37.630868,-119.024438,4.720
2014,02,04,05,15,40.44,37.630737,-119.023787,4.780
2014,02,04,05,18,20.24,37.630770,-119.023543,4.800
2014,02,04,05,18,30.39,37.631799,-119.022461,4.870
2014,02,04,05,20,26.33,37.628267,-119.023649,4.888
2014,02,04,05,29,42.96,37.631079,-119.023258,4.795
2014,02,04,05,33,04.11,37.631909,-119.022420,4.841
2014,02,04,05,34,45.18,37.630229,-119.022729,4.937
2014,02,04,05,34,58.52,37.632104,-119.022144,4.888
